"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2G79J6UK","journalArticle","2021","Metcalfe, Benjamin; Iravani, Pejman; Graham-Harper-Cater, Jonathan; Bowman, Richard; Stirling, Julian; Wilson, Peter","A Cost-Effective Pulse Oximeter Designed in Response to the COVID-19 Pandemic","Journal of Open Hardware","","2514-1708","10.5334/joh.26","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17844","This paper introduces the design of a small and cost-effective optical pulse oximeter, including a finger clip, sensor readout electronics, and associated firmware. The device is based on widely-available commercial optical sensors that are designed for the wearables market and measure the reflection of different wavelengths of light. This design was produced in response to a request from the Royal United Hospital in Bath UK, in light of the severe shortage of clinical pulse oximeters during the 2020 COVID-19 pandemic. Products based on this design have not been submitted for medical device approval; the design documents here should be considered purely for research, educational and development purposes.","2021-01-21","2025-03-19 19:16:49","2025-03-19 19:16:49","2025-03-19 19:16:49","1","","1","5","","","","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/RL5HWTFN/Metcalfe et al. - 2021 - A Cost-Effective Pulse Oximeter Designed in Response to the COVID-19 Pandemic.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D58KC4AB","journalArticle","2021","Rodriguez, Jaime; Politi, Maria; Scheiwiller, Sage; Bonageri, Shrilakshmi; Adler, Stuart; Beck, David; Pozzo, Lilo D.","PhasIR: An Instrumentation and Analysis Software for High-throughput Phase Transition Temperature Measurements","Journal of Open Hardware","","2514-1708","10.5334/joh.39","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17855","We have designed an open-source and high-throughput thermal analysis system for fast and accurate estimation of phase transition temperatures for up to 96 samples analyzed simultaneously. The results are comparable to current state of the art systems such as differential scanning calorimetry (DSC), which is costly and time-consuming. The PhasIR hardware system utilizes an infrared camera to optically record thermal processes that result from the melting/freezing and/or evaporation of samples, while the accompanying open-source software package allows for subsequent batch analysis and processing to extract phase transition temperatures. The PhasIR system showed good agreement with DSC results for both pure substances and mixtures, such as deep eutectic solvents (DES). The all-in-one hardware and software system can be easily replicated and built using relatively inexpensive components at a total estimated cost of $1,080 USD. Implementation of the PhasIR system will allow for increased throughput in material thermal characterization and broader investigation of material design spaces.","2021-12-27","2025-03-19 19:16:58","2025-03-19 19:16:58","2025-03-19 19:16:58","","","1","5","","","PhasIR","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/FGEIHX7J/Rodriguez et al. - 2021 - PhasIR An Instrumentation and Analysis Software for High-throughput Phase Transition Temperature Me.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9G96LZQM","journalArticle","2021","Robbins, Miranda; Siddiqui, Omid; Fuchsberger, Tanja; Goodfellow, Gemma; Paulsen, Ole; Kaminski, Clemens F.; Euser, Tijmen; Schierle, Gabriele S. Kaminski","OptoGenie: an open-source device for the optogenetic stimulation of cells","Journal of Open Hardware","","2514-1708","10.5334/joh.32","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17849","Optogenetics has revolutionised research in cell biology over the past 15 years, yet devices that can effectively stimulate cells using light are often costly and specifically designed for a single experimental set-up with little flexibility. Our novel ‘OptoGenie’ stimulation device can be conveniently transferred between cell culture incubators for long-term stimulation, electrophysiology rigs for patch-clamp recordings, and optical microscopes for fluorescence imaging of cells. The modular design of the device offers portability between these experimental set-ups, is low cost compared with commercial devices, and provides easy adjustment of the stimulation intensity and frequency. OptoGenie provides an open-source model made from proprietary parts such that researchers without experience with electronics and coding can easily purchase, assemble and customise for their experimental needs.","2021-01-27","2025-03-19 19:17:10","2025-03-19 19:17:10","2025-03-19 19:17:10","2","","1","5","","","OptoGenie","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/EJDDNMDV/Robbins et al. - 2021 - OptoGenie an open-source device for the optogenetic stimulation of cells.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXJDNYSP","journalArticle","2021","Soto, Daniel","TempSense: A Four-Channel Temperature Logger Based on a USB Bridge and CircuitPython","Journal of Open Hardware","","2514-1708","10.5334/joh.34","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17851","Accurate temperature measurements are needed to monitor and reduce energy use and greenhouse gas emissions in building, industrial, and other processes. This paper describes a temperature sensor instrument, named TempSense, developed for classroom demonstrations of thermal phenomena. The instrument can monitor, record, and visualize data from multiple temperature sensors using a K-type amplifier and thermocouples. It has an accuracy of ±2 deg C from -200 to +700 deg C and an accuracy of ±6 deg C from –270 to +1372 deg C. The instrument uses a USB bridge and the Python language to interface with open-source thermocouple amplifiers without the need for byte-level programming. Its design allows novice experimenters to inspect the build and operation and even customize it to their needs. TempSense can be extended via Python libraries to provide internet communication, visualization, and analysis.","2021-07-20","2025-03-19 19:17:26","2025-03-19 19:17:26","2025-03-19 19:17:26","4","","1","5","","","TempSense","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/B398NPD8/Soto - 2021 - TempSense A Four-Channel Temperature Logger Based on a USB Bridge and CircuitPython.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR62VTFS","journalArticle","2019","McGinness, Lachlan; Dührkoop, Susanne; Jansky, Alexandra; Keller, Oliver; Lorenz, Ankatrin; Schmeling, Sascha; Wendt, Klaus; Woithe, Julia","3D-Printable Model of a Particle Trap: Development and Use in the Physics Classroom","Journal of Open Hardware","","2514-1708","10.5334/joh.12","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17835","","2019-04-08","2025-03-19 19:17:50","2025-03-19 19:17:50","2025-03-19 19:17:50","1","","1","3","","","3D-Printable Model of a Particle Trap","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/M5PJR9RL/McGinness et al. - 2019 - 3D-Printable Model of a Particle Trap Development and Use in the Physics Classroom.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8IKXRJWQ","journalArticle","2022","Arce, Walker; Stevens, Jeffrey R.","A Precise Dispenser Design for Canine Cognition Research","Journal of Open Hardware","","2514-1708","10.5334/joh.41","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17857","Some forms of canine cognition research require a dispenser that can accurately dispense precise quantities of treats. When using off-the-shelf or retrofitted dispensers, there is no guarantee that a precise number of treats will be dispensed. Often, they will over-dispense treats, which may not be acceptable for some tasks. Here we describe a 3D-printed precise treat dispenser with a 59-treat capacity driven by a stepper motor drive and controlled by an integrated Raspberry Pi. The dispenser can be built for less than 200 USD and is fully 3D printable. While off-the-shelf dispensers can result in an error rate of 20–30%, the precision dispenser produces a 4% error rate. This lower error rate and the integrated Raspberry Pi allows for new possibilities for using treat dispensers across a range of canine research questions.","2022-02-02","2025-03-19 19:18:14","2025-03-19 19:18:14","2025-03-19 19:18:14","2","","1","6","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/G3Q5G6GG/Arce and Stevens - 2022 - A Precise Dispenser Design for Canine Cognition Research.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58EXGGKB","journalArticle","2022","Chinchane, Shubham; Kadam, Hrishikesh; Mowade, Ketan; Pearce, Joshua M.","Open Source 3D Printed ISO 8655 Compliant Multichannel Pipette","Journal of Open Hardware","","2514-1708","10.5334/joh.36","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17853","Multichannel pipettes are used widely to accelerate research and testing in life sciences laboratories and within the biomedical industry. Commercial multichannel pipettes cost several hundred to thousand U.S. dollars and are not accessible in many areas. This study utilizes an open source and digital distributed manufacturing model to design a USD$24 4-channel 200 micro-liter pipette. The design uses widely-available interchangeable off-the-shelf parts and custom components, which can be fabricated with a low-cost fused-filament RepRap-class desktop 3D printer. The manuscript describes the design, construction, and validation of an ergonomic open-source multichannel pipette, as well as the evaluation of pipetting parameters and quality control. The open source multichannel pipette is found to be compliant with ISO 8655 standards for precision and accuracy. The device has separate syringes that operate individual tips, which prevents cross contamination of specimens because there is no direct contact of different liquids with each other and no mixing with actuating air. Each syringe is easily replaced for different experiments and the source CAD files are provided to enable others to build variants or custom configurations of the open source multichannel pipette.","2022-01-06","2025-03-19 19:18:31","2025-03-19 19:18:31","2025-03-19 19:18:31","1","","1","6","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/LJ6I76V9/Chinchane et al. - 2022 - Open Source 3D Printed ISO 8655 Compliant Multichannel Pipette.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BADY6V2V","journalArticle","2022","Pi, Carles Tardío; Reyes-González, Daniela; Fernández-Duque, Andrea; Fuentes-Hernández, Ayari; Santos-Escobar, Fernando; Peña-Miller, Rafael","BAFFLE: A 3D Printable Device for Macroscopic Quantification of Fluorescent Bacteria in Space and Time","Journal of Open Hardware","","2514-1708","10.5334/joh.44","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17858","Despite the ubiquity and importance of microbial communities, understanding the population dynamics of mixed cultures in structured environments remains a fundamental problem in microbial ecology. Identifying bacterial strains within a complex microbial community represents a challenging technical problem. We describe a low-cost optomechanical device designed to acquire multi-channel timelapse images of bacterial colonies growing in agar plates. This device uses a system of addressable LEDs and fluorescence filters to estimate the spatio-temporal distribution of different fluorescently-tagged cells from time-lapse images obtained using a standard DSLR camera with a macro lens. We demonstrate the potential of this device with a range of applications from experimental microbiology.","2022-10-27","2025-03-19 19:18:42","2025-03-19 19:18:42","2025-03-19 19:18:42","5","","1","6","","","BAFFLE","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/LT4UERMS/Pi et al. - 2022 - BAFFLE A 3D Printable Device for Macroscopic Quantification of Fluorescent Bacteria in Space and Ti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LTSY9ZW","journalArticle","2022","Ho, Ian; Kumar, Ajay Harishankar; Harris, Daniel M.","Reconfigurable Mechanical Vibrations Laboratory Kit","Journal of Open Hardware","","2514-1708","10.5334/joh.40","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17856","Mechanical vibrations appear across a diverse range of applications, but nevertheless are unified by a core set of principles and phenomena. In this article, we describe a reconfigurable laboratory kit that is designed to be used as part of a first undergraduate course in mechanical vibrations. The kit was designed to be low cost and allow for a series of laboratory experiments to be performed remotely. Using a common set of core hardware and software, five laboratory experiments are detailed and can be performed to supplement many of the major topics traditionally encountered in a first vibrations course. This accessible platform will readily enable further technical improvements and expansions, as well as the development of additional experiments and assignments.","2022-02-25","2025-03-19 19:18:52","2025-03-19 19:18:52","2025-03-19 19:18:52","4","","1","6","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/VXGANQCM/Ho et al. - 2022 - Reconfigurable Mechanical Vibrations Laboratory Kit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3883B5GK","journalArticle","2023","Mercier, Arnaud; Dupuis, J. Christian; Giroux, Bernard","Geophysical Open Seismic Hardware: Design of a Vertical Seismic Profiling Instrument","Journal of Open Hardware","","2514-1708","10.5334/joh.50","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17862","Geophysics can help provide guidance as we adapt to our changing environment. However, with advent of microelectronics, embedded systems and field programmable gate arrays, geophysical instruments have largely become a black box for most users: experiments are limited by the budgets that are available rather than the imagination of the geoscientific community. The solution we propose is to introduce affordable, modular and lightweight multi-component seismic instruments that can be deployed easily by researchers and explorers alike. We have developed a system that allows seismic data acquisition using very sensitive and compact accelerometers. These sensors are coupled to high-speed, multi-channel 24-bit downhole acquisition modules that were developed for this project. The control and synchronization of the system is engineered around microcontrollers that are compatible with the Arduino ecosystem. Communication between the parts of the system is done via a novel frequency modulated RS-485 communication protocol. This protocol makes it possible to send power and data over a wireline with only two conductors. The small diameter and the low cost of this system facilitates the deployment of a large number of channels or in configurations that may not be feasible with commercial equipment. The modular nature of the system makes it easy to adapt to other downhole applications or for draggable sensor arrays on surface. We consider that these efforts will contribute to the democratization of seismic survey in exploration, civil engineering and water prospecting to help reduce the global environmental impacts of human activities.","2023-02-15","2025-03-19 19:19:08","2025-03-19 19:19:08","2025-03-19 19:19:08","3","","1","7","","","Geophysical Open Seismic Hardware","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/HBRMRFMH/Mercier et al. - 2023 - Geophysical Open Seismic Hardware Design of a Vertical Seismic Profiling Instrument.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8EISDKU","journalArticle","2023","Camara, Fanta; Waltham, Chris; Churchill, Grey; Fox, Charles","OpenPodcar: An Open Source Vehicle for Self-Driving Car Research","Journal of Open Hardware","","2514-1708","10.5334/joh.46","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17859","OpenPodcar is a low-cost, open source hardware and software, autonomous vehicle research platform based on an off-the-shelf, hard-canopy, mobility scooter donor vehicle. Hardware and software build instructions are provided to convert the donor vehicle into a low-cost and fully autonomous platform. The open platform consists of (a) hardware components: CAD designs, bill of materials, and build instructions; (b) Arduino, ROS and Gazebo control and simulation software files which provide standard ROS interfaces and simulation of the vehicle; and (c) higher-level ROS software implementations and configurations of standard robot autonomous planning and control, including the move_base interface with Timed-Elastic-Band planner which enacts commands to drive the vehicle from a current to a desired pose around obstacles. The vehicle is large enough to transport a human passenger or similar load at speeds up to 15 km/h, for example for use as a last-mile autonomous taxi service or to transport delivery containers similarly around a city center. It is small and safe enough to be parked in a standard research lab and be used for realistic human-vehicle interaction studies. System build cost from new components is around USD7,000 in total in 2022. OpenPodcar thus provides a good balance between real world utility, safety, cost and research convenience.","2023-09-11","2025-03-19 19:19:19","2025-03-19 19:19:19","2025-03-19 19:19:19","","","1","7","","JOH","OpenPodcar","","","","","","","en","https://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/D8K9TQUD/Camara et al. - 2023 - OpenPodcar An Open Source Vehicle for Self-Driving Car Research.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9MG4ZJX","journalArticle","2023","Wichitwechkarn, Vijja; Fox, Charles","MACARONS: A Modular and Open-Sourced Automation System for Vertical Farming","Journal of Open Hardware","","2514-1708","10.5334/joh.53","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17865","The Modular Automated Crop Array Online System (MACARONS) is an extensible, scalable, open hardware system for plant transport in automated horticulture systems such as vertical farms. It is specified to move trays of plants up to 1060 mm × 630 mm and 12.5 kg at a rate of 100 mm/s along the guide rails and 41.7 mm/s up the lifts, such as between stations for monitoring and actuating plants. The cost for the construction of one grow unit of MACARONS is 144.96 USD which equates to 128.85 USD/m2 of grow area. The designs are released and meets the requirements of CERN-OSH-W, which includes step-by-step graphical build instructions and can be built by a typical technical person in one day at a cost of 1535.50 USD. Integrated tests are included in the build instructions are used to validate against the specifications, and we report on a successful build. Through a simple analysis, we demonstrate that MACARONS can operate at a rate sufficient to automate tray loading/unloading, to reduce labour costs in a vertical farm.","2023-01-12","2025-03-19 19:19:37","2025-03-19 19:19:37","2025-03-19 19:19:37","1","","1","7","","","MACARONS","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/7CYGC4WW/Wichitwechkarn and Fox - 2023 - MACARONS A Modular and Open-Sourced Automation System for Vertical Farming.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YRXANMY","journalArticle","2023","Geldenhuys, Christiaan M.; Niesler, Thomas R.","Kleinvoet: a Spatially-Distributed Temporally-Synchronised Infrasonic Recorder","Journal of Open Hardware","","2514-1708","10.5334/joh.58","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17868","We present the hardware design of a high-fidelity, low-cost infrasonic-capable (6 Hz) passive acoustic monitoring (PAM) prototype instrument. The device allows temporal synchronisation using a variety of global navigation satellite system (GNSS) constellations. This allows the recordings made by independent spatially-distributed nodes to be synchronised in time for acoustic monitoring and localisation using, for example, time difference of arrival (TDOA). Each node is capable of sampling at 24bit resolution with a sampling frequency that is adjustable between 8 kHz and 192 kHz. Audio samples are stored locally on a microSD card, along with timestamp and location metadata.","2023-08-18","2025-03-19 19:19:53","2025-03-19 19:19:53","2025-03-19 19:19:53","","","1","7","","JOH","Kleinvoet","","","","","","","en","https://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/3CDUMR3G/Geldenhuys and Niesler - 2023 - Kleinvoet a Spatially-Distributed Temporally-Synchronised Infrasonic Recorder.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2F5UHLM","journalArticle","2023","Beuchert, Jonas; Matthes, Amanda; Rogers, Alex","SnapperGPS: Open Hardware for Energy-Efficient, Low-Cost Wildlife Location Tracking with Snapshot GNSS","Journal of Open Hardware","","2514-1708","10.5334/joh.48","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17860","Location tracking with global navigation satellite systems (GNSS), such as GPS, is used in many applications, including the tracking of wild animals for research. Snapshot GNSS is a technique that only requires milliseconds of satellite signals to infer the position of a receiver. This is ideal for low-power applications such as animal tracking. However, there are few existing snapshot systems, none of which is open source.","2023-02-10","2025-03-19 19:20:06","2025-03-19 19:20:06","2025-03-19 19:20:06","2","","1","7","","","SnapperGPS","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/WZN8KCSN/Beuchert et al. - 2023 - SnapperGPS Open Hardware for Energy-Efficient, Low-Cost Wildlife Location Tracking with Snapshot GN.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
